Day,"Ad Set ID","Ad Set Budget","Ad Set Budget Type","Amount Spent (USD)",Impressions,Reach,"Clicks (All)","Result Type",Results,"Cost per Result","Reporting Starts","Reporting Ends"
2018-12-31,6096292022433,5,Daily,30.58,654,450,5,Lead,1,30.58,2018-12-31,2018-12-31
2018-12-30,6103942805833,30,Daily,72.8,1279,715,3,Lead,,,2018-12-30,2018-12-30
2018-12-30,6096292022433,5,Daily,5.51,164,148,0,Lead,,,2018-12-30,2018-12-30
2018-12-29,6103942805833,30,Daily,30.87,436,158,2,Lead,,,2018-12-29,2018-12-29
2018-12-28,6103942805833,30,Daily,57.72,889,280,3,Lead,1,57.72,2018-12-28,2018-12-28
2018-12-27,6103835262233,7,Daily,1.58,237,155,0,Lead,,,2018-12-27,2018-12-27
2018-12-27,6103942805833,30,Daily,23.17,422,192,1,Lead,,,2018-12-27,2018-12-27
2018-12-26,6103835262233,7,Daily,6.33,986,384,2,Lead,,,2018-12-26,2018-12-26
2018-12-26,6103942805833,30,Daily,101.02,1594,366,7,Lead,,,2018-12-26,2018-12-26
2018-12-25,6103835262233,7,Daily,6.08,939,468,8,Lead,1,6.08,2018-12-25,2018-12-25
2018-12-25,6103942805833,30,Daily,126.66,2690,1307,7,Lead,1,126.66,2018-12-25,2018-12-25
2018-12-24,6103942805833,30,Daily,35.61,984,846,3,Lead,,,2018-12-24,2018-12-24
2018-12-24,6103835262233,7,Daily,6.15,960,563,6,Lead,1,6.15,2018-12-24,2018-12-24
2018-12-24,6096292022433,5,Daily,17.7,361,305,2,Lead,,,2018-12-24,2018-12-24
2018-12-23,6096292022433,5,Daily,84.38,1656,940,11,Lead,1,84.38,2018-12-23,2018-12-23
2018-12-23,6103835262233,7,Daily,4.99,893,484,3,Lead,1,4.99,2018-12-23,2018-12-23
2018-12-22,6103835262233,7,Daily,5.85,1202,688,13,Lead,1,5.85,2018-12-22,2018-12-22
2018-12-22,6096292022433,5,Daily,25.65,569,412,5,Lead,,,2018-12-22,2018-12-22
2018-12-21,6096292022433,5,Daily,32.23,710,579,10,Lead,,,2018-12-21,2018-12-21
2018-12-20,6096292022433,5,Daily,28.4,820,646,12,Lead,,,2018-12-20,2018-12-20
2018-12-19,6096292022433,5,Daily,30.18,849,654,4,Lead,,,2018-12-19,2018-12-19
2018-12-18,6096292022433,5,Daily,31.07,728,609,7,Lead,,,2018-12-18,2018-12-18
2018-12-17,6096292022433,5,Daily,7.79,232,210,2,Lead,,,2018-12-17,2018-12-17
2018-12-16,6096292022433,5,Daily,1.65,33,31,0,Lead,,,2018-12-16,2018-12-16
2018-12-15,6096292022433,5,Daily,56.23,1358,1113,14,Lead,1,56.23,2018-12-15,2018-12-15
2018-12-14,6096292022433,5,Daily,44.2,1086,916,6,Lead,1,44.2,2018-12-14,2018-12-14
2018-12-13,6096292022433,5,Daily,4.27,76,63,3,Lead,,,2018-12-13,2018-12-13
2018-12-12,6096292022433,5,Daily,29.94,576,392,9,Lead,1,29.94,2018-12-12,2018-12-12
2018-12-11,6096292022433,5,Daily,43.15,878,613,5,Lead,1,43.15,2018-12-11,2018-12-11
2018-12-10,6096292022433,5,Daily,151.23,4449,3040,32,Lead,,,2018-12-10,2018-12-10
2018-12-09,6096292022433,5,Daily,169.73,4229,2825,32,Lead,3,56.576666666667,2018-12-09,2018-12-09
2018-12-08,6096292022433,5,Daily,164.71,2803,1531,26,Lead,1,164.71,2018-12-08,2018-12-08
2018-12-07,6096292022433,5,Daily,160.23,3845,2582,28,Lead,1,160.23,2018-12-07,2018-12-07
2018-12-06,6096292022433,5,Daily,203.66,5804,3462,37,Lead,4,50.915,2018-12-06,2018-12-06
2018-12-05,6096292022433,5,Daily,55.25,1766,1297,12,Lead,,,2018-12-05,2018-12-05
2018-12-04,6096292022433,5,Daily,98.06,3203,1913,20,Lead,4,24.515,2018-12-04,2018-12-04
2018-12-03,6096154816233,25,Daily,16.32,665,393,0,Lead,,,2018-12-03,2018-12-03
2018-12-03,6096292022433,5,Daily,88.53,3100,1652,24,Lead,2,44.265,2018-12-03,2018-12-03
2018-12-02,6096154816233,25,Daily,67.95,2196,1173,7,Lead,1,67.95,2018-12-02,2018-12-02
2018-12-02,6096292022433,5,Daily,55.56,1750,1093,18,Lead,6,9.26,2018-12-02,2018-12-02
2018-12-01,6096154816233,25,Daily,89.63,7399,5213,26,Lead,,,2018-12-01,2018-12-01
2018-11-30,6099799225433,1,Daily,8.38,893,492,3,"Landing Page Views",2,4.19,2018-11-30,2018-11-30
2018-11-30,6096154816233,25,Daily,77.39,5067,2491,23,Lead,1,77.39,2018-11-30,2018-11-30
2018-11-29,6099799225433,1,Daily,80.54,5822,2668,17,"Landing Page Views",9,8.9488888888889,2018-11-29,2018-11-29
2018-11-28,6099799225433,1,Daily,20.09,1073,726,7,"Landing Page Views",5,4.018,2018-11-28,2018-11-28
2018-11-27,6099799225433,1,Daily,19.74,1127,747,4,"Landing Page Views",3,6.58,2018-11-27,2018-11-27
2018-11-26,6099799225433,1,Daily,19.7,980,535,1,"Landing Page Views",1,19.7,2018-11-26,2018-11-26
2018-11-25,6099799225433,1,Daily,17.4,771,499,3,"Landing Page Views",,,2018-11-25,2018-11-25
2018-11-24,6099799225433,1,Daily,10.72,550,346,0,"Landing Page Views",,,2018-11-24,2018-11-24
2018-11-23,6099799225433,1,Daily,19.47,912,560,1,"Landing Page Views",1,19.47,2018-11-23,2018-11-23
2018-11-22,6099799225433,1,Daily,14.63,641,446,3,"Landing Page Views",2,7.315,2018-11-22,2018-11-22
2018-11-21,6099799225433,1,Daily,13.76,788,475,0,"Landing Page Views",,,2018-11-21,2018-11-21
2018-11-20,6099799225433,1,Daily,20.42,1182,679,2,"Landing Page Views",1,20.42,2018-11-20,2018-11-20
2018-11-19,6099799225433,1,Daily,20.13,1076,670,3,"Landing Page Views",3,6.71,2018-11-19,2018-11-19
2018-11-18,6099799225433,1,Daily,20.05,991,787,5,"Landing Page Views",3,6.6833333333333,2018-11-18,2018-11-18
2018-11-17,6099799225433,1,Daily,19.58,993,813,8,"Landing Page Views",3,6.5266666666667,2018-11-17,2018-11-17
2018-11-16,6099799225433,1,Daily,19.88,1209,912,4,"Landing Page Views",3,6.6266666666667,2018-11-16,2018-11-16
2018-11-15,6099799225433,1,Daily,20.14,1715,1053,6,"Landing Page Views",3,6.7133333333333,2018-11-15,2018-11-15
2018-11-14,6099799225433,1,Daily,20.07,1922,1148,4,"Landing Page Views",4,5.0175,2018-11-14,2018-11-14
2018-11-13,6099799225433,1,Daily,20.19,1520,1051,2,"Landing Page Views",1,20.19,2018-11-13,2018-11-13
2018-11-12,6099799225433,1,Daily,20.05,1660,1118,6,"Landing Page Views",4,5.0125,2018-11-12,2018-11-12
2018-11-11,6099799225433,1,Daily,20.09,1608,1094,9,"Landing Page Views",6,3.3483333333333,2018-11-11,2018-11-11
2018-11-10,6099799225433,1,Daily,18.99,1257,919,13,"Landing Page Views",11,1.7263636363636,2018-11-10,2018-11-10
2018-11-09,6099799225433,1,Daily,19.61,2076,1070,7,"Landing Page Views",3,6.5366666666667,2018-11-09,2018-11-09
2018-11-08,6099799225433,1,Daily,19.26,1701,1046,4,"Landing Page Views",3,6.42,2018-11-08,2018-11-08
2018-11-07,6099799225433,1,Daily,16.12,1507,938,5,"Landing Page Views",4,4.03,2018-11-07,2018-11-07
2018-11-07,6096154816233,25,Daily,1.43,160,116,0,Lead,,,2018-11-07,2018-11-07
2018-11-07,6096292022433,5,Daily,1.42,125,101,0,Lead,,,2018-11-07,2018-11-07
2018-11-06,6096154816233,25,Daily,5.02,720,358,1,Lead,,,2018-11-06,2018-11-06
2018-11-06,6096292022433,5,Daily,4.91,858,359,1,Lead,,,2018-11-06,2018-11-06
2018-11-06,6099799225433,1,Daily,10.01,912,574,1,"Landing Page Views",,,2018-11-06,2018-11-06
2018-11-05,6096292022433,5,Daily,5.11,779,357,0,Lead,,,2018-11-05,2018-11-05
2018-11-05,6099799225433,1,Daily,10.08,787,580,5,"Landing Page Views",3,3.36,2018-11-05,2018-11-05
2018-11-05,6096154816233,25,Daily,5.18,1081,387,1,Lead,,,2018-11-05,2018-11-05
2018-11-04,6096154816233,25,Daily,4.98,993,399,0,Lead,,,2018-11-04,2018-11-04
2018-11-04,6096292022433,5,Daily,5.09,668,337,2,Lead,1,5.09,2018-11-04,2018-11-04
2018-11-04,6099799225433,1,Daily,10.26,694,514,8,"Landing Page Views",6,1.71,2018-11-04,2018-11-04
2018-11-03,6096154816233,25,Daily,4.33,490,310,3,Lead,1,4.33,2018-11-03,2018-11-03
2018-11-03,6096292022433,5,Daily,4.61,560,352,2,Lead,,,2018-11-03,2018-11-03
2018-11-03,6099799225433,1,Daily,9.11,599,477,3,"Landing Page Views",1,9.11,2018-11-03,2018-11-03
2018-11-02,6096292022433,5,Daily,6,742,406,6,Lead,2,3,2018-11-02,2018-11-02
2018-11-02,6099799225433,1,Daily,7.42,1060,856,6,"Landing Page Views",2,3.71,2018-11-02,2018-11-02
2018-11-02,6096154816233,25,Daily,6.04,748,365,5,Lead,,,2018-11-02,2018-11-02
2018-11-01,6096154816233,25,Daily,9.99,1205,539,5,Lead,1,9.99,2018-11-01,2018-11-01
2018-11-01,6096292022433,5,Daily,9.82,953,521,1,Lead,,,2018-11-01,2018-11-01
2018-10-31,6096292022433,5,Daily,10.68,1036,482,5,Lead,,,2018-10-31,2018-10-31
2018-10-31,6096154816233,25,Daily,9.89,1385,481,5,Lead,,,2018-10-31,2018-10-31
2018-10-30,6096154816233,25,Daily,10.13,1136,505,0,Lead,,,2018-10-30,2018-10-30
2018-10-30,6096292022433,5,Daily,10.05,818,469,2,Lead,,,2018-10-30,2018-10-30
2018-10-29,6096292022433,5,Daily,9.99,953,484,6,Lead,,,2018-10-29,2018-10-29
2018-10-29,6096154816233,25,Daily,9.99,1079,477,3,Lead,,,2018-10-29,2018-10-29
2018-10-28,6096154816233,25,Daily,10.38,844,509,3,Lead,,,2018-10-28,2018-10-28
2018-10-28,6096292022433,5,Daily,10.44,907,473,10,Lead,,,2018-10-28,2018-10-28
2018-10-27,6096292022433,5,Daily,9.89,926,495,10,Lead,,,2018-10-27,2018-10-27
2018-10-27,6096154816233,25,Daily,9.5,741,450,2,Lead,,,2018-10-27,2018-10-27
2018-10-26,6096154816233,25,Daily,9.75,801,429,3,Lead,,,2018-10-26,2018-10-26
2018-10-26,6096292022433,5,Daily,9.87,685,473,6,Lead,,,2018-10-26,2018-10-26
2018-10-25,6096154816233,25,Daily,9.84,698,364,2,Lead,,,2018-10-25,2018-10-25
2018-10-25,6096292022433,5,Daily,10.26,276,252,8,Lead,,,2018-10-25,2018-10-25
2018-10-24,6096154816233,25,Daily,10.03,488,272,1,Lead,,,2018-10-24,2018-10-24
2018-10-24,6096292022433,5,Daily,10.13,434,375,4,Lead,,,2018-10-24,2018-10-24
2018-10-23,6096154816233,25,Daily,10.6,321,270,5,Lead,,,2018-10-23,2018-10-23
2018-10-23,6096292022433,5,Daily,9.66,312,249,2,Lead,,,2018-10-23,2018-10-23
2018-10-22,6096154816233,25,Daily,10.02,297,225,1,Lead,,,2018-10-22,2018-10-22
2018-10-22,6096292022433,5,Daily,10.27,323,228,0,Lead,,,2018-10-22,2018-10-22
2018-10-21,6096154816233,25,Daily,10.26,338,286,0,Lead,,,2018-10-21,2018-10-21
2018-10-21,6096292022433,5,Daily,9.92,305,248,2,Lead,,,2018-10-21,2018-10-21
2018-10-20,6096292022433,5,Daily,10.16,318,274,8,Lead,,,2018-10-20,2018-10-20
2018-10-20,6096154816233,25,Daily,10.03,359,326,1,Lead,,,2018-10-20,2018-10-20
2018-10-19,6096292022433,5,Daily,9.42,331,292,2,Lead,,,2018-10-19,2018-10-19
2018-10-19,6096154816233,25,Daily,9.39,318,290,1,Lead,,,2018-10-19,2018-10-19
2018-10-18,6096154816233,25,Daily,10.06,350,294,2,Lead,,,2018-10-18,2018-10-18
2018-10-18,6096292022433,5,Daily,10.06,387,336,4,Lead,,,2018-10-18,2018-10-18
2018-10-17,6096292022433,5,Daily,10.48,415,364,5,Lead,1,10.48,2018-10-17,2018-10-17
2018-10-17,6096154816233,25,Daily,9.99,396,346,0,Lead,,,2018-10-17,2018-10-17
2018-10-16,6096292022433,5,Daily,9.87,319,259,2,Lead,,,2018-10-16,2018-10-16
2018-10-16,6096154816233,25,Daily,10.46,372,295,0,Lead,,,2018-10-16,2018-10-16
2018-10-15,6096154816233,25,Daily,9.9,320,271,2,Lead,,,2018-10-15,2018-10-15
2018-10-15,6096292022433,5,Daily,9.79,363,291,2,Lead,,,2018-10-15,2018-10-15
2018-10-14,6096154816233,25,Daily,10.17,439,369,0,Lead,,,2018-10-14,2018-10-14
2018-10-14,6096292022433,5,Daily,10.22,524,430,2,Lead,,,2018-10-14,2018-10-14
2018-10-13,6096154816233,25,Daily,9.62,459,389,2,Lead,1,9.62,2018-10-13,2018-10-13
2018-10-13,6096292022433,5,Daily,9.63,490,399,2,Lead,,,2018-10-13,2018-10-13
2018-10-12,6096292022433,5,Daily,9.51,446,376,2,Lead,,,2018-10-12,2018-10-12
2018-10-12,6096154816233,25,Daily,9.77,499,401,1,Lead,,,2018-10-12,2018-10-12
2018-10-11,6096154816233,25,Daily,9.75,575,475,4,Lead,,,2018-10-11,2018-10-11
2018-10-11,6096292022433,5,Daily,10.35,492,396,6,Lead,,,2018-10-11,2018-10-11
2018-10-10,6096154816233,25,Daily,10.41,684,515,2,Lead,1,10.41,2018-10-10,2018-10-10
2018-10-10,6096292022433,5,Daily,9.93,671,499,3,Lead,,,2018-10-10,2018-10-10
2018-10-09,6096292022433,5,Daily,10.11,809,600,2,Lead,,,2018-10-09,2018-10-09
2018-10-09,6096154816233,25,Daily,10.1,700,519,2,Lead,,,2018-10-09,2018-10-09
2018-10-08,6096292022433,5,Daily,9.91,741,564,4,Lead,1,9.91,2018-10-08,2018-10-08
2018-10-08,6096154816233,25,Daily,10.01,811,614,2,Lead,,,2018-10-08,2018-10-08
2018-10-07,6096154816233,25,Daily,10.34,828,563,5,Lead,1,10.34,2018-10-07,2018-10-07
2018-10-07,6096292022433,5,Daily,10.56,641,473,2,Lead,,,2018-10-07,2018-10-07
2018-10-06,6096154816233,25,Daily,9.63,815,566,5,Lead,,,2018-10-06,2018-10-06
2018-10-06,6096292022433,5,Daily,9.99,799,566,6,Lead,,,2018-10-06,2018-10-06
2018-10-05,6096292022433,5,Daily,9.91,726,503,12,Lead,,,2018-10-05,2018-10-05
2018-10-05,6096154816233,25,Daily,9.79,925,631,9,Lead,,,2018-10-05,2018-10-05
2018-10-04,6096154816233,25,Daily,9.56,2715,1898,15,Lead,1,9.56,2018-10-04,2018-10-04
2018-10-04,6096292022433,5,Daily,9.93,2371,1720,19,Lead,,,2018-10-04,2018-10-04
2018-10-03,6096154816233,25,Daily,10.13,3699,2411,22,Lead,1,10.13,2018-10-03,2018-10-03
2018-10-03,6096292022433,5,Daily,10.31,2869,1932,15,Lead,,,2018-10-03,2018-10-03
2018-10-02,6096292022433,5,Daily,9.8,2542,1828,13,Lead,,,2018-10-02,2018-10-02
2018-10-02,6096154816233,25,Daily,9.78,4267,2438,28,Lead,,,2018-10-02,2018-10-02
2018-10-01,6096154816233,25,Daily,10.07,3547,2232,9,Lead,,,2018-10-01,2018-10-01
2018-10-01,6096292022433,5,Daily,10.1,3406,2186,11,Lead,,,2018-10-01,2018-10-01
2018-09-30,6096154816233,25,Daily,10.08,2986,2121,20,Lead,,,2018-09-30,2018-09-30
2018-09-30,6096292022433,5,Daily,10.13,3239,2241,22,Lead,1,10.13,2018-09-30,2018-09-30
2018-09-29,6096154816233,25,Daily,10.42,3252,2201,16,Lead,1,10.42,2018-09-29,2018-09-29
2018-09-29,6096292022433,5,Daily,10.38,3345,2123,24,Lead,,,2018-09-29,2018-09-29
2018-09-28,6096154816233,25,Daily,9.82,3413,2213,27,Lead,,,2018-09-28,2018-09-28
2018-09-28,6096292022433,5,Daily,9.86,3770,2322,16,Lead,,,2018-09-28,2018-09-28
2018-09-27,6096154816233,25,Daily,26.82,5746,3339,24,Lead,,,2018-09-27,2018-09-27
2018-09-27,6096292022433,5,Daily,27,6314,3320,29,Lead,,,2018-09-27,2018-09-27
2018-09-26,6096292022433,5,Daily,24.99,6153,3656,38,Lead,,,2018-09-26,2018-09-26
2018-09-26,6096154816233,25,Daily,24.99,5615,3630,22,Lead,,,2018-09-26,2018-09-26
2018-09-25,6096292022433,5,Daily,14.78,4575,3372,18,Lead,,,2018-09-25,2018-09-25
2018-09-25,6096154816233,25,Daily,12.91,4200,3149,24,Lead,,,2018-09-25,2018-09-25
2018-09-24,6096292022433,5,Daily,16.42,4485,2946,30,Lead,,,2018-09-24,2018-09-24
2018-09-24,6096154816233,25,Daily,15.86,4201,2903,30,Lead,,,2018-09-24,2018-09-24
2018-09-23,6096154816233,25,Daily,10.4,3190,1931,18,Lead,,,2018-09-23,2018-09-23
2018-09-23,6096292022433,5,Daily,10.1,3322,2169,18,Lead,,,2018-09-23,2018-09-23
2018-09-22,6096154816233,25,Daily,21.59,4562,3415,33,Lead,,,2018-09-22,2018-09-22
2018-09-22,6096292022433,5,Daily,21.51,4652,3388,33,Lead,,,2018-09-22,2018-09-22
2018-09-21,6096154816233,25,Daily,29.43,4184,3283,14,Lead,,,2018-09-21,2018-09-21
2018-09-21,6096292022433,5,Daily,29.47,4327,3179,30,Lead,,,2018-09-21,2018-09-21
2018-09-20,6096154816233,25,Daily,3.22,123,102,0,Lead,,,2018-09-20,2018-09-20
2018-09-20,6096292022433,5,Daily,2.61,114,85,0,Lead,,,2018-09-20,2018-09-20
2018-09-19,6096154816233,25,Daily,11.34,419,247,2,Lead,,,2018-09-19,2018-09-19
2018-09-18,6096154816233,25,Daily,8.99,448,290,0,Lead,,,2018-09-18,2018-09-18
2018-09-16,6094816636833,50,Daily,0.45,42,33,0,"Website Leads",,,2018-09-16,2018-09-16
2018-09-15,6094816636833,50,Daily,4.39,256,189,0,"Website Leads",,,2018-09-15,2018-09-15
2018-09-14,6094816636833,50,Daily,9.81,619,368,1,"Website Leads",,,2018-09-14,2018-09-14
2018-09-13,6094816636833,50,Daily,11.37,746,479,4,"Website Leads",,,2018-09-13,2018-09-13
2018-09-12,6094816636833,50,Daily,20.7,1062,660,4,"Website Leads",,,2018-09-12,2018-09-12
2018-09-11,6094816636833,50,Daily,20.68,1177,693,7,"Website Leads",,,2018-09-11,2018-09-11
